ts,etf_eth_flow,etf_eth_price,api_version,scope,endpoint,path,fetched_at
2024-12-12 00:00:00+00:00,273700000.0,3830.44,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-13 00:00:00+00:00,23600000.0,3880.52,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-16 00:00:00+00:00,51100000.0,3958.5,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-17 00:00:00+00:00,144700000.0,3984.76,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-18 00:00:00+00:00,2500000.0,3890.81,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-19 00:00:00+00:00,-60500000.0,3625.41,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-20 00:00:00+00:00,-75100000.0,3416.69,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-23 00:00:00+00:00,130800000.0,3280.81,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-24 00:00:00+00:00,53600000.0,3420.75,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-25 00:00:00+00:00,0.0,3491.98,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-26 00:00:00+00:00,117200000.0,3495.73,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-27 00:00:00+00:00,47700000.0,3333.15,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-30 00:00:00+00:00,-55500000.0,3355.46,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-31 00:00:00+00:00,36000000.0,3360.1,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-01 00:00:00+00:00,0.0,3336.58,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-02 00:00:00+00:00,-77500000.0,3359.35,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-03 00:00:00+00:00,58900000.0,3454.83,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-06 00:00:00+00:00,128700000.0,3634.96,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-07 00:00:00+00:00,-86800000.0,3685.72,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-08 00:00:00+00:00,-159400000.0,3379.37,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-09 00:00:00+00:00,0.0,3325.38,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-10 00:00:00+00:00,-68500000.0,3218.24,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-13 00:00:00+00:00,-39400000.0,3265.7,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-14 00:00:00+00:00,1200000.0,3136.13,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
