ts,premium,premium_rate,coinbase_price,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-11-13 00:00:00+00:00,22.37,0.0604,37086.5,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-14 00:00:00+00:00,12.75,0.035,36475.68,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-15 00:00:00+00:00,2.9,0.0082,35554.1,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-16 00:00:00+00:00,27.15,0.0717,37885.35,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-17 00:00:00+00:00,-2.36,-0.0065,36161.15,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-18 00:00:00+00:00,17.65,0.0482,36631.56,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-19 00:00:00+00:00,28.03,0.0767,36596.14,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-20 00:00:00+00:00,29.21,0.0782,37389.06,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-21 00:00:00+00:00,23.97,0.064,37472.76,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-22 00:00:00+00:00,13.68,0.0383,35755.33,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-23 00:00:00+00:00,15.96,0.0427,37424.31,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-24 00:00:00+00:00,9.77,0.0262,37304.04,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-25 00:00:00+00:00,32.72,0.0868,37746.29,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-26 00:00:00+00:00,26.17,0.0693,37806.84,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-27 00:00:00+00:00,14.59,0.039,37462.01,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-28 00:00:00+00:00,-1.06,-0.0028,37241.64,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-29 00:00:00+00:00,19.38,0.0512,37838.26,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-30 00:00:00+00:00,10.14,0.0268,37864.79,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-01 00:00:00+00:00,8.3,0.022,37732.27,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-02 00:00:00+00:00,24.04,0.0621,38706.55,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-03 00:00:00+00:00,17.07,0.0433,39467.42,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-04 00:00:00+00:00,12.55,0.0314,39984.81,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-05 00:00:00+00:00,-5.57,-0.0133,41985.53,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-06 00:00:00+00:00,12.51,0.0284,44086.33,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-07 00:00:00+00:00,3.72,0.0085,43766.41,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-08 00:00:00+00:00,7.96,0.0184,43281.11,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-09 00:00:00+00:00,21.86,0.0495,44192.86,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-10 00:00:00+00:00,9.25,0.0212,43722.84,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-11 00:00:00+00:00,4.17,0.0095,43793.67,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-12 00:00:00+00:00,-23.8,-0.0577,41229.61,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-13 00:00:00+00:00,-14.78,-0.0356,41477.6,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-14 00:00:00+00:00,18.36,0.0428,42887.39,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-15 00:00:00+00:00,5.51,0.0128,43027.77,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-16 00:00:00+00:00,-5.45,-0.013,41934.84,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-17 00:00:00+00:00,-42.79,-0.1012,42235.23,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-18 00:00:00+00:00,-25.05,-0.0605,41349.59,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-19 00:00:00+00:00,-7.79,-0.0183,42650.01,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-20 00:00:00+00:00,-9.74,-0.023,42266.25,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-21 00:00:00+00:00,4.19,0.0096,43673.11,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-22 00:00:00+00:00,13.77,0.0314,43875.56,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-23 00:00:00+00:00,44.61,0.1015,44013.65,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-24 00:00:00+00:00,26.21,0.06,43728.36,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-25 00:00:00+00:00,33.52,0.078,43025.02,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-26 00:00:00+00:00,13.55,0.0311,43589.67,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-27 00:00:00+00:00,12.28,0.0289,42521.21,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-28 00:00:00+00:00,40.2,0.0926,43469.06,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-29 00:00:00+00:00,17.47,0.041,42581.23,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-30 00:00:00+00:00,-2.72,-0.0065,42064.22,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-12-31 00:00:00+00:00,-0.97,-0.0023,42139.32,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2024-01-01 00:00:00+00:00,5.0,0.0118,42288.58,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
